,ISO_code,Country,Region,FreeSc,FreeRk,FreeQuart,RoLaw,FemSafe,PersSafe,RelFree,ExpFree,GenderIdty,PersFreeSc,PersFreeRk,EcoFreeSc,EcoFreeRk,HappyRk,HappySc,GDP_per_capita,Population,LifeAge,RelImp,PeaceRk,CorruptSc,CorruptRk,HumDevRk,HumDevSc,Gend_Eq
42,EGY,Egypt,Middle East & North Africa,4.5,157.0,4.0,3.6,0.7,5.0,3.7,6.5,0.0,3.95,159.0,5.05,155.0,104.0,4.7350001335144,2817.0,96442591.0,71.656,97.0,139.0,32.0,117.0,116.0,0.696,5.51
43,SLV,El Salvador,Latin America & the Caribbean,6.89,75.0,2.0,4.4,8.8,5.8,9.1,8.9,6.7,6.62,93.0,7.16,63.0,45.0,6.002999782562259,3458.0,6388126.0,72.872,83.0,114.0,33.0,112.0,124.0,0.665,6.08
44,EST,Estonia,Eastern Europe,8.46,15.0,1.0,7.8,10.0,9.7,8.3,9.6,9.0,9.02,15.0,7.89,13.0,66.0,5.61100006103516,19228.0,1319390.0,78.354,16.0,36.0,71.0,21.0,30.0,0.879,8.78
45,SWZ,Eswatini,Sub-Saharan Africa,6.4,111.0,3.0,4.7,6.3,7.3,8.0,6.0,4.8,6.29,110.0,6.52,107.0,,,4839.0,1124805.0,,,82.0,,,,,
46,ETH,Ethiopia,Sub-Saharan Africa,5.25,153.0,4.0,3.3,5.5,6.6,5.6,5.4,3.8,4.77,153.0,5.72,143.0,119.0,4.46000003814697,542.0,106399924.0,65.872,99.0,127.0,35.0,107.0,173.0,0.467,4.98
47,FJI,Fiji,Oceania,7.17,60.0,2.0,4.8,8.8,9.3,9.2,7.7,10.0,7.61,56.0,6.74,90.0,,,4461.0,877459.0,67.252,92.0,,,,98.0,0.721,6.479999999999999
48,FIN,Finland,Western Europe,8.53,8.0,1.0,8.6,10.0,9.8,7.9,9.7,9.0,9.27,4.0,7.8,21.0,5.0,7.468999862670901,47532.0,5511371.0,81.561,56.0,18.0,85.0,3.0,12.0,0.924,9.42
49,FRA,France,Western Europe,8.02,33.0,1.0,6.8,8.8,9.4,7.3,9.3,10.0,8.69,29.0,7.35,50.0,31.0,6.44199991226196,44333.0,64842509.0,82.432,40.0,53.0,70.0,23.0,26.0,0.89,9.17
50,GAB,Gabon,Sub-Saharan Africa,5.99,132.0,4.0,4.1,8.8,8.2,8.9,6.2,8.8,6.1,120.0,5.88,138.0,118.0,4.46500015258789,9205.0,2064823.0,65.839,,85.0,32.0,117.0,115.0,0.7,4.66
51,GMB,"Gambia, The",Sub-Saharan Africa,5.94,135.0,4.0,4.5,1.3,5.5,7.6,5.4,0.0,4.64,155.0,7.23,60.0,,,,,,,,,,,,
52,GEO,Georgia,Caucasus & Central Asia,7.74,41.0,1.0,5.4,8.8,9.1,7.2,8.6,8.2,7.53,59.0,7.94,12.0,125.0,4.28599977493286,3972.0,4008716.0,73.414,93.0,97.0,56.0,46.0,70.0,0.7829999999999999,6.5
53,DEU,Germany,Western Europe,8.53,8.0,1.0,8.3,10.0,9.9,7.7,9.4,10.0,9.25,7.0,7.82,20.0,16.0,6.9510002136230495,46987.0,82658409.0,81.039,34.0,17.0,81.0,12.0,4.0,0.938,9.28
54,GHA,Ghana,Sub-Saharan Africa,6.94,70.0,2.0,5.7,6.1,8.2,8.1,8.8,3.8,7.3,65.0,6.58,103.0,131.0,4.11999988555908,1738.0,29121465.0,63.463,95.0,45.0,40.0,81.0,142.0,0.591,4.620000000000001
55,GRC,Greece,Eastern Europe,7.33,57.0,2.0,5.8,7.5,8.7,7.3,8.7,8.3,8.07,40.0,6.59,102.0,87.0,5.2270002365112305,23457.0,10569450.0,81.90100000000001,71.0,80.0,48.0,59.0,32.0,0.871,8.8
56,GTM,Guatemala,Latin America & the Caribbean,7.07,65.0,2.0,4.0,8.8,5.9,8.5,8.2,6.7,6.56,95.0,7.57,34.0,29.0,6.4539999961853,3124.0,16914970.0,73.81,88.0,113.0,28.0,143.0,126.0,0.649,5.07
57,GIN,Guinea,Sub-Saharan Africa,5.61,144.0,4.0,3.2,1.4,5.8,8.5,6.9,0.0,5.37,143.0,5.86,139.0,149.0,3.50699996948242,868.0,12067519.0,60.706,97.0,98.0,27.0,148.0,174.0,0.46299999999999997,
58,GNB,Guinea-Bissau,Sub-Saharan Africa,6.07,130.0,4.0,2.9,4.0,7.5,9.9,7.1,7.5,6.9,83.0,5.23,151.0,,,614.0,1828145.0,57.673,,121.0,,,178.0,0.46,
59,GUY,Guyana,Latin America & the Caribbean,6.74,88.0,3.0,4.7,10.0,7.9,9.2,8.1,7.5,7.16,70.0,6.32,117.0,,,3885.0,775222.0,69.624,,84.0,38.0,91.0,123.0,0.6679999999999999,4.96
60,HTI,Haiti,Latin America & the Caribbean,6.71,91.0,3.0,3.4,8.8,8.0,8.4,8.2,6.7,6.93,82.0,6.49,110.0,145.0,3.6029999256133998,729.0,10982366.0,63.29,75.0,89.0,22.0,157.0,169.0,0.501,3.99
61,HND,Honduras,Latin America & the Caribbean,6.81,84.0,3.0,3.2,10.0,6.5,8.7,6.5,6.7,6.47,102.0,7.16,63.0,91.0,5.1810002326965305,2172.0,9429013.0,74.898,84.0,108.0,29.0,135.0,132.0,0.621,5.21
62,HKG,Hong Kong,East Asia,8.81,3.0,1.0,7.1,10.0,10.0,8.6,8.7,9.0,8.7,27.0,8.91,1.0,71.0,5.47200012207031,38370.0,7306322.0,84.493,26.0,,77.0,13.0,4.0,0.937,
63,HUN,Hungary,Eastern Europe,7.65,45.0,2.0,5.4,7.5,8.7,7.3,8.8,10.0,8.04,43.0,7.27,54.0,75.0,5.32399988174438,15789.0,9729823.0,76.498,39.0,15.0,45.0,66.0,43.0,0.841,7.41
64,ISL,Iceland,Western Europe,8.41,18.0,1.0,7.8,10.0,9.9,8.1,9.6,9.0,9.08,13.0,7.74,23.0,3.0,7.50400018692017,52372.0,334393.0,82.725,51.0,1.0,77.0,13.0,6.0,0.935,9.379999999999999
65,IND,India,South Asia,6.64,94.0,3.0,4.3,7.5,8.0,5.5,8.0,5.7,6.37,108.0,6.91,79.0,122.0,4.31500005722046,1987.0,1338676785.0,69.165,76.0,137.0,40.0,81.0,129.0,0.643,4.76
66,IDN,Indonesia,South Asia,6.83,81.0,2.0,4.1,5.0,8.1,3.9,7.5,7.5,6.38,105.0,7.27,54.0,81.0,5.26200008392334,4120.0,264650963.0,71.282,82.0,52.0,37.0,96.0,111.0,0.7040000000000001,5.470000000000001
67,IRN,Iran,Middle East & North Africa,5.1,154.0,4.0,4.4,5.0,7.1,4.3,5.4,2.3,4.48,156.0,5.72,143.0,108.0,4.69199991226196,6952.0,80673883.0,76.271,83.0,126.0,30.0,130.0,65.0,0.799,5.389999999999999
68,IRQ,Iraq,Middle East & North Africa,4.34,158.0,4.0,2.6,4.6,3.6,5.3,5.4,0.0,3.47,160.0,5.21,153.0,117.0,4.49700021743774,5555.0,37552781.0,70.294,84.0,161.0,18.0,169.0,120.0,0.684,4.9399999999999995
69,IRL,Ireland,Western Europe,8.52,10.0,1.0,7.5,10.0,9.7,9.1,9.5,10.0,8.9,19.0,8.13,6.0,15.0,6.9770002365112305,75408.0,4753279.0,81.872,45.0,13.0,74.0,19.0,3.0,0.9390000000000001,8.91
70,ISR,Israel,Middle East & North Africa,7.61,46.0,2.0,6.8,8.8,9.0,5.9,8.5,6.3,7.7,53.0,7.53,38.0,11.0,7.212999820709231,36288.0,8243848.0,82.663,30.0,145.0,62.0,32.0,22.0,0.904,9.02
